Title,Date,Affiliations,Description,Response,Victims,Sponsor,Type,Category,Sources_1,Sources_2,Sources_3
Careto,2/10/2014,Also known as Mask and Ugly Face,"This threat actor targets governments, diplomatic missions, private companies in the energy sector, and academics for espionage purposes.",,"Morocco, Brazil, United Kingdom, France, Spain, Switzerland, Libya, United States, Iran, Venezuela, South Africa, Germany, Poland, Tunisia",Spain,Espionage,"Government, Private sector",https://securelist.com/blog/research/58254/the-caretomask-apt-frequently-asked-questions/,http://www.wired.com/2014/02/mask/,https://www.schneier.com/blog/archives/2014/02/the_mask_espion.html
Compromise of the U.S. Postal Service,11/9/2014,,A threat actor compromised the networks of the U.S. Postal Service and gained access to employee data.,,U.S. Postal Service,China,Espionage,Government,http://about.usps.com/news/testimony/2014/pr14_day1119a.pdf,http://www.washingtonpost.com/blogs/federal-eye/wp/2014/11/10/china-suspected-of-breaching-u-s-postal-service-computer-networks/,http://www.wsj.com/articles/u-s-postal-service-says-it-was-victim-of-data-breach-1415632126
Snowglobe,3/21/2014,Animal Farm,"A threat actor, confirmed to be the French government, that targets governments, companies, media organizations, military contractors, and humanitarian organizations.",,"Syria, Iran, Malaysia, United States, China, Turkey, Netherlands, Germany, United Kingdom, Russia, Algeria, Ivory Coast, Spain, Norway, Greece",France,Espionage,"Government, Private sector",http://www.lemonde.fr/international/article/2014/03/21/quand-les-canadiens-partent-en-chasse-de-babar_4387233_3210.html,https://apt.securelist.com/#secondPage/attack=33,http://blogs.cfr.org/cyber/2016/09/15/shouting-at-americans-a-peek-into-french-signals-intelligence/
Compromise of the U.S. National Oceanic and Atmospheric Administration,11/12/2014,,Threat actors accessed weather network data,,National Oceanic and Atmospheric Agency,China,Espionage,Government,https://www.washingtonpost.com/local/chinese-hack-us-weather-systems-satellite-network/2014/11/12/bef1206a-68e9-11e4-b053-65cea7903f2e_story.html,https://www.washingtonpost.com/blogs/capital-weather-gang/wp/2014/10/22/weather-service-stops-receiving-satellite-data-issues-warning-about-forecast-reliability/,
Regin,11/24/2014,Believed to be the work of the Equation Group,"A threat actor, using a tool dubbed Regin, compromised telecommunications networks and collected information about how those networks operate to facilitate espionage on other targets such as governments, financial institutions, and academics.",,"Algeria, Afghanistan, Belgium, Brazil, Fiji, Germany, Iran, India, Indonesia, Kiribati, Malaysia, Pakistan, Syria, Russia","United Kingdom, United States",Espionage,"Government, Private sector",https://securelist.com/blog/research/67741/regin-nation-state-ownage-of-gsm-networks/,http://www.spiegel.de/international/world/regin-malware-unmasked-as-nsa-tool-after-spiegel-publishes-source-code-a-1015255.html,http://www.symantec.com/content/en/us/enterprise/media/security_response/whitepapers/regin-analysis.pdf
Saffron Rose,5/12/2014,"Also known as Flying Kitten, Sayad, Ajax Security Team, and Group 26",This threat actor is focused on espionage and targets companies within the U.S. defense industrial base and Iranians who use anticensorship technology.,,"United States, Iranian internet activists",Iran (Islamic Republic of),Espionage,"Military, Civil society",https://www.fireeye.com/content/dam/fireeye-www/global/en/current-threats/pdfs/rpt-operation-saffron-rose.pdf,https://www.crowdstrike.com/blog/cat-scratch-fever-crowdstrike-tracks-newly-reported-iranian-actor-flying-kitten/index.html,https://www.nccgroup.trust/uk/about-us/newsroom-and-events/blogs/2014/july/a-new-flying-kitten/
Attempted compromise of Ukrainian email accounts,12/9/2014,,A threat actor attempted to compromise email accounts in Ukraine for espionage purposes.,Denouncement   http://www.sbu.gov.ua/sbu/control/en/publish/article?art_id=138949&amp;cat_id=35317,Ukraine,Russian Federation,Espionage,"Government, Military",https://web.archive.org/web/20150502195833/http://www.sbu.gov.ua:80/sbu/control/en/publish/article?art_id=131264&cat_id=131098,,
Operation Cleaver,12/2/2014,Also known as Cutting Kitten and Group 41,"This threat actor targets governments and private sector entities for espionage and sabotage purposes. It is believed to be responsible for compromising U.S. Navy computers at the Navy Marine Corps Intranet in San Diego, the U.S. energy company Calpine Corporation, Saudi Aramco, Pemex, Qatar Airways, and Korean Air (http://www.reuters.com/article/2014/12/02/us-cybersecurity-iran-idUSKCN??",,"Canada, China, United Kingdom, France, Germany, India, Israel, United States, Kuwait, Mexico, Pakistan, Qatar, Saudi Arabia, South Korea, Turkey",Iran (Islamic Republic of),Espionage,"Private sector, Government",https://cdn2.hubspot.net/hubfs/270968/assets/Cleaver/Cylance_Operation_Cleaver_Report.pdf,https://www.crowdstrike.com/blog/whois-clever-kitten/,https://www.secureworks.com/research/suspected-iran-based-hacker-group-creates-network-of-fake-linkedin-profiles
Compromise of the Finnish Ministry of Foreign Affairs,11/1/2013,Believed to be the work of Turla,A threat actor compromised Finland?? Ministry of Foreign Affairs for espionage purposes. The threat actor specifically targeted communications between Finland and the European Union.,,Ministry for Foreign Affairs,Russian Federation,Espionage,Government,http://www.mtv.fi/uutiset/kotimaa/artikkeli/mtv3-suomen-ulkoministerio-laajan-verkkovakoilun-kohteena-vuosia/2369718,http://arstechnica.com/tech-policy/2013/10/finlands-foreign-ministry-gets-pwned-by-red-october-malware/,https://yle.fi/uutiset/osasto/news/russian_group_behind_2013_foreign_ministry_hack/8591548
Patchwork,5/19/2013,Believed to be responsible for the attempted compromise of U.S. think tanks,"This threat actor targets multiple entities, primarily around India but also in the United States, the Middle East, and China.",,"Bangladesh, Sri Lanka, Pakistan",India,Espionage,"Private sector, Military",https://s3-us-west-2.amazonaws.com/cymmetria-blog/public/Unveiling_Patchwork.pdf,https://www.forcepoint.com/sites/default/files/resources/files/forcepoint-security-labs-monsoon-analysis-report.pdf,https://www.bluecoat.com/security-blog/2013-05-20/hangover-report
admin@338,10/31/2013,,"This threat actor targets prodemocratic activists and organizations in Hong Kong, European and international financial institutions, and a U.S.-based think tank.",,"Hong Kong, United States",China,Espionage,"Government, Private sector, Civil society",https://www.fireeye.com/blog/threat-research/2013/10/know-your-enemy-tracking-a-rapidly-evolving-apt-actor.html,https://www.fireeye.com/blog/threat-research/2015/11/china-based-threat.html,
Kimsuky,9/11/2013,,"This threat actor targets South Korean think tanks, industry, nuclear power operators, and the Ministry of Unification for espionage purposes. Also responsible for launching a?launching a spear-phishing campaign targeting?UN officials, including those affiliated with the UN Security Council.",Denouncement   http://www.reuters.com/article/us-nuclear-southkorea-northkorea-idUSKBN0MD0GR20150317,"Ministry of Unification, Sejong Institute, Korea Institute for Defense Analyses, UN officials, including those affiliated with the UN Security Council",Korea (Democratic People's Republic of),Espionage,"Government, Private sector",https://securelist.com/analysis/publications/57915/the-kimsuky-operation-a-north-korean-apt/,http://www.reuters.com/article/us-nuclear-southkorea-northkorea-idUSKBN0MD0GR20150317,https://www.mandiant.com/resources/mapping-dprk-groups-to-government
Mirage,12/11/2013,"Mirage is possibly linked to the Hellsing?threat actor. It is also known as Vixen Panda, GREF, APT 15, and Playful Dragon.?Believed to be associated with Winnti Umbrella",This threat actor uses phishing techniques to compromise the networks of foreign ministries of European countries for espionage purposes.,,"European Union, India, United Kingdom",China,Espionage,Government,https://www.fireeye.com/content/dam/fireeye-www/global/en/current-threats/pdfs/wp-operation-ke3chang.pdf,http://researchcenter.paloaltonetworks.com/2016/05/operation-ke3chang-resurfaces-with-new-tidepool-malware/,https://www.nccgroup.trust/uk/about-us/newsroom-and-events/press-releases/2018/march/new-tools-uncovered-from-hacking-group-apt15/
The Dukes,2/1/2013,"Also known as APT 29, Cozy Bear, Dark Halo, Nobelium, and Cloaked Ursa.?Estonian intelligence services associate this group with the Russian Federal Security Service (FSB) and Foreign Intelligence Service (SVR).","This threat actor targets government ministries and agencies in the West, Central Asia, East Africa, and the Middle East; Chechen extremist groups; Russian organized crime; and think tanks. It is suspected to be behind the 2015 compromise of unclassified networks at the White House, Department of State, Pentagon, and the Joint Chiefs of Staff. The threat actor includes all of the Dukes tool sets, including MiniDuke, CosmicDuke, OnionDuke, CozyDuke, SeaDuke, CloudDuke (aka MiniDionis), and HammerDuke (aka Hammertoss).",,"United States, Georgia, Brazil, China, Japan, Mexico, New Zealand, South Korea, Turkey, Ukraine, Belgium, Portugal, Romania, Kazakhstan, India",Russian Federation,Espionage,"Government, Private sector",https://www.f-secure.com/documents/996508/1030745/dukes_whitepaper.pdf,https://www2.fireeye.com/rs/848-DID-242/images/rpt-apt29-hammertoss.pdf,https://www.volexity.com/blog/2016/11/09/powerduke-post-election-spear-phishing-campaigns-targeting-think-tanks-and-ngos/
Team Spy Crew,3/20/2013,,This threat actor primarily compromises government entities and human rights activists in Eastern Europe and Central Asia for espionage purposes. It has also compromised private and public sector entities in the Middle East and in Western countries.,,"Hungary, Belarus",Russian Federation,Espionage,"Government, Private sector",http://kasperskycontenthub.com/wp-content/uploads/sites/43/vlpdfs/theteamspystory_final_t2.pdf,,
Anchor Panda,3/22/2013,,This threat actor targets government and private sector entities interested in maritime issues in the South China Sea for espionage purposes,,"United States, Germany, Sweden, United Kingdom, Australia",China,Espionage,"Government, Military",https://www.crowdstrike.com/blog/whois-anchor-panda/,,
NetTraveler,6/4/2013,Also known as APT 21,This threat actor targets computer networks associated with Tibetan and Uighur activists for espionage purposes.,,"Mongolia, India, Russia, Kazakhstan, Kyrgyzstan, China, Tajikstan, South Korea, Spain, Germany, United States, Canada, United Kingdom, Chile, Morocco",China,Espionage,"Government, Military",https://securelist.com/blog/research/35936/nettraveler-is-running-red-star-apt-attacks-compromise-high-profile-victims/,https://securelist.com/blog/incidents/57455/nettraveler-is-back-the-red-star-apt-returns-with-new-tricks/,
Sykipot,9/4/2013,"Also known as JS Sykipot, Backdoor Sykipot, and Maverick Panda","This threat actor has been targeting the U.S. defense industrial base, telecommunications, computer hardware, government contractors, and aerospace firms since at least 2006. It was also seen targeting ""Umbrella revolution"" activists.",,"United States, United Kingdom, Hong Kong",China,Espionage,"Private sector, Military",http://blog.trendmicro.com/trendlabs-security-intelligence/sykipot-now-targeting-us-civil-aviation-sector-information/,https://web.archive.org/web/20150322214113/https://www.sans.org/reading-room/whitepapers/malicious/detailed-analysis-sykipot-smartcard-proxy-variant-33919,http://www.symantec.com/connect/blogs/sykipot-attacks
Compromise of EADS and ThyssenKrupp,2/25/2013,,"Threat actors compromised the networks of European Aeronautic Defense and Space Company (EADS) and ThyssenKrupp, defense contractors with offices in Germany.",,"European Aeronautic Defense and Space Company (EADS), ThyssenKrupp",China,Espionage,Private sector,http://www.spiegel.de/international/world/digital-spying-burdens-german-relations-with-beijing-a-885444.html,,
Icefog,9/25/2013,Also known as Dagger Panda and possibly linked to Onion Dog,"This threat actor targets government institutions, military contractors, maritime and shipbuilding groups, telecommunications operators, and others, primarily in Japan and South Korea.",,"South Korea, Japan, China, United States, Germany",China,Espionage,"Government, Military",http://kasperskycontenthub.com/wp-content/uploads/sites/43/vlpdfs/icefog.pdf,http://www.darkreading.com/attacks-and-breaches/java-icefog-malware-variant-infects-us-businesses/d/d-id/1113451,
Compromise of the Indian Defense Research and Development Organization,3/13/2013,,A threat actor compromised India's Defense Research and Development Organization for espionage purposes.,Denouncement   http://www.newindianexpress.com/nation/2013/mar/14/chinese-hack-drdo-computers-antony-seeks-report-458371.html,"Indian Defense Research Organization, Defense Research and Development Lab",China,Espionage,Military,http://thehackernews.com/2013/03/chinese-hackers-infiltrate-indian.html,http://www.newindianexpress.com/nation/article1500336.ece,https://www.hackread.com/indian-defence-organisation-drdo-servers-hacked-china-among-the-suspects/
Deep Panda,1/1/2013,"Also known as Shell Crew, Web Masters, APT 19, Kung Fu Kittens, Black Vine, Temp.Avengers, and Group 13","This threat actor compromises high-tech sector companies, the U.S. defense industrial base, nongovernmental organizations, and state and federal government entities for espionage purposes. It is also suspected of being behind the breaches at Anthem, the U.S. Office of Personnel Management, and United Airlines.",,United States,China,Espionage,"Private sector, Military",http://cybercampaigns.net/wp-content/uploads/2013/06/Deep-Panda.pdf,http://krebsonsecurity.com/2015/02/china-to-blame-in-anthem-hack/,https://web.archive.org/web/20150801000426/https://www.isightpartners.com/2015/07/threatscape-media-highlights-update-week-of-july-29th/
Unresponsive computer networks in South Korea,5/20/2013,Also known as Operation Troy and Dark Seoul,"Threat actors compromised the computer networks of South Korean broadcasters?and two banks, making them unresponsive.",,South Korea,Korea (Democratic People's Republic of),Denial of service,Private sector,https://www.theguardian.com/world/2013/mar/20/south-korea-under-cyber-attack,http://www.nytimes.com/2013/03/21/world/asia/south-korea-computer-network-crashes.html?_r=0,http://www.mcafee.com/us/resources/white-papers/wp-dissecting-operation-troy.pdf
Compromise of Australian government agencies,5/27/2013,,Threat actors compromised various Australian government ministries for the purposes of espionage. Threat actors allegedly infiltrated blueprints of the Australian Security Intelligence Organization's new headquarters.,,"Australian Security Intelligence Organization, Department of the Prime Minister and Cabinet, Department of Defense, Department of Foreign Affairs, and Trade",China,Espionage,"Government, Military",http://www.abc.net.au/news/2013-05-27/asio-blueprints-stolen-in-major-hacking-operation/4715960,,
PLA Unit 61398,2/19/2013,"Also known as APT 1, Comment Crew, Comment Panda, TG-8223, Group 3, GIF89a, and Byzantine Candor","U.S. cybersecurity firm Mandiant, later purchased by FireEye, released a report in February 2013 that exposed one of China?? cyber espionage units, Unit 61398. The group, which FireEye called APT 1, is a unit within China?? People?? Liberation Army (PLA) that has been linked to a wide range of cyber operations targeting U.S. private sector entities for espionage purposes. The comprehensive report detailed evidence connecting APT 1 and the PLA, offered insight into APT 1?? operational malware and methodologies, and provided timelines of the espionage it conducted.

FireEye termed Unit 61398 ??PT 1??to indicate that the threat actor was an Advanced Persistent Threat, a type of operation in which the goal of the network intrusion is not only to gain access to a server or system, but also to retain ongoing access and engage in protracted cyber operations. The APT 1 report exposed the infrastructure of a cyber threat actor and gave both government and nongovernment organizations insight into the escalating nature of state-sponsored cyber operations.",Criminal charges   https://www.justice.gov/opa/pr/us-charges-five-chinese-military-hackers-cyber-espionage-against-us-corporations-and-labor,"United States, United Kingdom, Switzerland, Taiwan, Singapore, Canada, Israel, India, France, Norway, Belgium, Luxembourg, United Arab Emirates, South Africa, Japan",China,Espionage,"Private sector, Government",https://web.archive.org/web/20130219155150/http://intelreport.mandiant.com/Mandiant_APT1_Report.pdf,http://www.mcafee.com/us/resources/white-papers/wp-operation-shady-rat.pdf,http://www.nytimes.com/2013/02/19/technology/chinas-army-is-seen-as-tied-to-hacking-against-us.html
Compromise of unclassified U.S. Navy network,9/27/2013,,A threat actor compromised an unclassified U.S. Navy computer network for espionage purposes.,,U.S. Navy,Iran (Islamic Republic of),Espionage,Military,http://www.wsj.com/articles/SB10001424052702304526204579101602356751772,,
Lucky Cat,3/30/2012,Has links to the Shadow Network?and?SabPub. Also known as TA413.,"A threat actor targets computer networks associated with Tibetan activists, as well as military research and development, aerospace, engineering, and shipping industries in India and Japan.",,"India, Japan",China,Espionage,"Civil society, Private sector",http://blog.trendmicro.com/trendlabs-security-intelligence/luckycat-redux-inside-an-apt-campaign/,https://malpedia.caad.fkie.fraunhofer.de/actor/ta413,https://www.proofpoint.com/us/blog/threat-insight/chinese-apt-ta413-resumes-targeting-tibet-following-covid-19-themed-economic
Compromise of Saudi Aramco and RasGas,8/16/2012,Believed to have been partially the work of Chrysene,"In 2012, threat actors wiped data from approximately thirty-five thousand computers belonging to Saudi Aramco, one of the world?? largest oil companies. Malware called Shamoon stole passwords, wiped data, and prevented computers from rebooting. Hackers calling themselves the ""Cutting Sword of Justice"" claimed responsibility for the incident, asserting they were retaliating against the al-Saud regime for what the group called widespread crimes against humanity. U.S. intelligence sources have attributed the attack to Iran. Less than two weeks after the Aramco incident, the Qatari gas giant RasGas was also knocked offline by suspected state-sponsored ?attackers.?

The Saudi Aramco incident signaled Iran?? growing cyber capabilities and Tehran?? willingness to use them to promote its interests, particularly in its battle of influence in the Middle East with Saudi Arabia. At the time, some countries had the capability to remotely destroy computer data, but there were few publicly known instances of a country using them, and Iran may have been responding to a previous attack against the Iranian Oil Ministry and the National Iranian Oil Company that used a malware called Wiper.",Denouncement   http://www.bloomberg.com/news/articles/2012-12-09/saudi-arabia-says-aramco-cyberattack-came-from-foreign-states,Saudia Arabia Aramco Company,Iran (Islamic Republic of),Data destruction,Private sector,https://securelist.com/blog/incidents/57854/shamoon-the-wiper-copycats-at-work/,http://www.nytimes.com/2012/10/24/business/global/cyberattack-on-saudi-oil-firm-disquiets-us.html?_r=0,http://www.computerworld.com/article/2491501/malware-vulnerabilities/kill-timer-found-in-shamoon-malware-suggests-possible-connection-to-saudi-ar.html
Attempted compromise of the BBC Persian TV service,3/14/2012,,A threat actor attempted to jam BBC satellite feeds into Iran and launched a series of automated calls to flood the BBC London office. The incident occurred after the BBC announced a spike in viewership of its Persian TV service.,,BBC Persian TV,Iran (Islamic Republic of),Denial of service,Private sector,http://www.bbc.com/news/technology-17365416,http://www.theguardian.com/media/2012/mar/14/bbc-fears-iran-cyber-attack-persian,
SabPub,4/16/2012,A variant of Lucky Cat for Mac computers,"Malware, believed to be linked to Lucky Cat, that facilitates cyber espionage on activists through spear phishing",,"India, United States, United Kingdom, Spain, France",China,Espionage,Government,https://securelist.com/blog/incidents/33208/new-version-of-osx-sabpub-confirmed-mac-apt-attacks-19/,http://www.securityweek.com/mac-malware-linked-luckycat-attack-campaign,http://www.infoworld.com/article/2617225/malware/sabpub-malware-proves-macs-are-an-apt-target.html
Flame,5/28/2012,This tool is believed to be the work of the Equation Group. The tool Gauss?is believed to be based on the Flame platform.,"A threat actor, using a tool called Flame, targeted computers in the Middle East region; the most compromises were in Iran. This compromise gained widespread coverage due to the modular nature of the malware the threat actors used.",,"Iran, Israel, Palestine, Sudan, Syria, Lebanon, Saudi Arabia, Egypt, Hungary, Austria, Russia, United Arab Emirates, France","United States, Israel",Data destruction,"Military, Private sector",https://www.securelist.com/en/blog/208193522/The_Flame_Questions_and_Answers,http://www.wired.com/2012/05/flame/,https://www.washingtonpost.com/world/national-security/us-israel-developed-computer-virus-to-slow-iranian-nuclear-efforts-officials-say/2012/06/19/gJQA6xBPoV_story.html
Madi,7/17/2012,,"This threat actor compromises engineering firms, government entities, and financial and academic institutions in the United States, Israel, Iran, and Pakistan",,"Iran, Israel, United States, Pakistan",Iran (Islamic Republic of),Espionage,"Government, Private sector",https://securelist.com/blog/incidents/33693/the-madi-campaign-part-i-5/,https://securelist.com/blog/incidents/33701/the-madi-campaign-part-ii-53/,
Denial of service attacks against U.S. banks in 2012??013,9/18/2012,Also known as Operation Ababil,"The websites of Bank of America, JPMorgan Chase, Wells Fargo, and other U.S. financial institutions suffered simultaneous outages due to a coordinated denial of service cyberattack in September 2012. Attackers flooded bank servers with junk traffic, preventing users from online banking. An Iranian group called Izz ad-Din al-Qassam Cyber Fighters initially claimed responsibility for the incident. At the time, the media reported that U.S. intelligence believed the denial of service was in response to U.S. imposed economic sanctions to counter Iran?? nuclear program. Seven Iranian individuals linked to the Islamic Revolutionary Guard Corps were eventually indicted by the U.S. Department of Justice in 2016 for their involvement in the incident.?

The denial of service attacks against U.S. banks is significant for two reasons. First, the size and scale of the attacks led the State Department to seek other countries??assistance in taking down the compromised computers that were flooding the banks with junk traffic. Second, the attacks would indicate that Iran??f it was in fact using the attacks as retaliation for U.S. financial sanctions??as acting proportionally in its dispute with the United States.",Criminal charges   https://www.justice.gov/opa/pr/seven-iranians-working-islamic-revolutionary-guard-corps-affiliated-entities-charged,"Bank of America, Citigroup, Wells Fargo, US Bancorp, PNC, Capital One, Fifth Third Bank, BB&T, HSBC",Iran (Islamic Republic of),Denial of service,Private sector,http://pastebin.com/mCHia4W5,http://www.nytimes.com/2013/01/09/technology/online-banking-attacks-were-work-of-iran-us-officials-say.html,https://www.washingtonpost.com/world/national-security/iran-blamed-for-cyberattacks/2012/09/21/afbe2be4-0412-11e2-9b24-ff730c7f6312_story.html
Gauss,8/9/2012,Believed to be based on the Flame platform and possibly the work of the Equation Group,"A threat actor used a tool called Gauss to target the accounts of several Lebanon-based banks, including BlomBank, ByblosBank, Credit Libanais.",,"Lebanon, Palestine, Israel, United States, Iran, United Arab Emirates, Qatar, Jordan, Germany , Egypt","United States, Israel",Espionage,Private sector,https://web.archive.org/web/20160304022846/http://www.kaspersky.com/about/news/virus/2012/Kaspersky_Lab_and_ITU_Discover_Gauss_A_New_Complex_Cyber_Threat_Designed_to_Monitor_Online_Banking_Accounts,https://securelist.com/blog/incidents/33854/gauss-nation-state-cyber-surveillance-meets-banking-trojan-54/,https://www.wired.com/2012/08/gauss-espionage-tool/
Compromise of Coca-Cola,11/4/2012,Believed to be the work of PLA Unit 61398,A threat actor compromised Coca-Cola?? network coinciding with the company's attempted acquisition of China Huiyuan Juice Group.,,Coca-Cola,China,Espionage,Private sector,http://www.bloomberg.com/news/articles/2012-11-04/coke-hacked-and-doesn-t-tell,http://www.nytimes.com/2013/02/19/technology/chinas-army-is-seen-as-tied-to-hacking-against-us.html,
Sneaky Panda,9/14/2012,"Possibly assisted in Operation Aurora, the RSA incident, and the Joint Strike Fighter Program compromise","This threat actor targets private sector companies in the defense, shipping, aeronautics, arms, and energy sectors, as well as nonprofits and financial firms.",,"United States, Hong Kong, Taiwan, Canada, Australia, China, United Kingdom, India, Denmark, Switzerland",China,Espionage,"Private sector, Civil society",http://www.symantec.com/content/en/us/enterprise/media/security_response/whitepapers/the-elderwood-project.pdf,http://www.csmonitor.com/USA/2012/0914/Stealing-US-business-secrets-Experts-ID-two-huge-cyber-gangs-in-China,
ITSecTeam,9/18/2012,,One of the threat actors responsible for the denial of service attacks against U.S in 2012??013. Three individuals associated with the group??elieved to be have been working on behalf of Iran?? Islamic Revolutionary Guard Corps??ere indicted by the Justice Department in 2016.,Criminal charges   https://www.justice.gov/opa/pr/seven-iranians-working-islamic-revolutionary-guard-corps-affiliated-entities-charged,"Bank of America, Citigroup, Wells Fargo, US Bancorp, PNC, Capital One, Fifth Third Bank, BB&T, HSBC",Iran (Islamic Republic of),Denial of service,Private sector,http://pastebin.com/mCHia4W5,http://www.nytimes.com/2013/01/09/technology/online-banking-attacks-were-work-of-iran-us-officials-say.html,https://www.washingtonpost.com/world/national-security/iran-blamed-for-cyberattacks/2012/09/21/afbe2be4-0412-11e2-9b24-ff730c7f6312_story.html
Compromise of Nortel,2/14/2012,,"Threat actors compromised the networks of Nortel, a now-defunct telecommunications equipment provider, over an extended period of time for the purposes of espionage.",,Nortel Networks,China,Espionage,Private sector,https://www.wsj.com/articles/SB10001424052970203363504577187502201577054,http://www.cbc.ca/news/business/nortel-collapse-linked-to-chinese-hackers-1.1260591,
Syrian Electronic Army,1/1/2011,"Allosh, Syrian Government?",A loosely organized collective of Syrian government??ffiliated threat actors that has targeted a wide range of entities since 2011.,,"Syrian Dissidents, Humanitarian Groups, Western Media Outlets, Associated Press, U.S. government websites, Twitter, PayPal, eBay",Syrian Arab Republic,,"Civil society, Private sector, Military, Government",https://www.cyberscoop.com/coronavirus-syria-surveillance-apps-lookout/,https://blog.lookout.com/nation-state-mobile-malware-targets-syrians-with-covid-19-lures,https://www.opencanada.org/features/new-face-syrian-electronic-army/
Denial of service incident against a South Korean bank,4/18/2011,,"South Korean prosecutors allege that North Korean intelligence conducted a denial of service campaign against a South Korean bank, causing millions of customers to be unable to use the bank's credit cards and ATMs for more than a week.",Denouncement   http://www.bbc.com/news/world-asia-pacific-13263888,National Agricultural Cooperative Federation,Korea (Democratic People's Republic of),Denial of service,Private sector,http://www.koreatimes.co.kr/www/news/nation/2011/05/117_86369.html,http://www.reuters.com/article/korea-north-cyber-idUSL3E7G31BT20110503,https://www.washingtonpost.com/world/national-security/suspected-north-korean-cyber-attack-on-a-bank-raises-fears-for-s-korea-allies/2011/08/07/gIQAvWwIoJ_story.html
Duqu,10/26/2011,This is believed be a tool set used by the Equation Group. It is related to Stuxnet?and Flame.,"Threat actors, using a tool dubbed Duqu, targeted industrial control systems in certain countries.",,"Iran, Sudan",Israel,Espionage,Military,http://www.crysys.hu/publications/files/bencsathPBF11duqu.pdf,http://www.wsj.com/articles/spy-virus-linked-to-israel-targeted-hotels-used-for-iran-nuclear-talks-1433937601,https://www.wired.com/2011/10/son-of-stuxnet-in-the-wild/
Compromise of Oak Ridge National Laboratory,4/19/2011,,A compromise at the computer network of Oak Ridge National Laboratory led to the exfiltration of approximately one gigabyte of data and the shutdown of the network.,,Oak Ridge National Laboratory,China,Espionage,"Government, Private sector",http://www.computerworld.com/article/2507715/cybercrime-hacking/oak-ridge-national-lab-shuts-down-internet--email-after-cyberattack.html,http://www.wired.com/2011/04/oak-ridge-lab-hack/,http://securitywatch.pcmag.com/google/283508-oak-ridge-national-laboratory-hacked
Shady RAT,8/3/2011,Believed to be a tool used by PLA Unit 61398,"A threat actor targeted government entities (primarily in the United States), defense contractors, think tanks, and companies in the advanced information technology and aerospace industries for espionage purposes using a tool called Shady RAT.",,"United States, Canada, South Korea, Taiwan, Japan, Switzerland, United Kingdom, Indonesia, Vietnam, Singapore, Hong Kong, Germany, India, United Nations, International Olympic Committee",China,Espionage,"Government, Military",http://www.mcafee.com/us/resources/white-papers/wp-operation-shady-rat.pdf,http://www.vanityfair.com/news/2011/09/operation-shady-rat-201109,https://www.washingtonpost.com/national/national-security/report-identifies-widespread-cyber-spying/2011/07/29/gIQAoTUmqI_story.html
Compromise of a Taiwanese political party,8/9/2011,,A threat actor compromised the computer network of the Democratic Progressive Party (a political party in Taiwan) and exfiltrated data.,Denouncement   http://www.taipeitimes.com/News/front/archives/2011/08/10/2003510374/1,Democratic Progressive Party,China,Espionage,Government,http://www.taipeitimes.com/News/front/archives/2011/08/10/2003510374/1,http://www.theepochtimes.com/n3/1494970-chinese-state-media-denies-hacking-taiwan-e-mails/,http://www.news24.com/SciTech/News/Taiwan-party-Chinese-hacked-us-20110809
Compromise of certificate issuer DigiNotar,9/6/2011,,"DigiNotar was a Dutch issuer of the digital security certificates [PDF] that authenticate the identities of servers on the internet. This authentication process is essential for online transactions; the certificates allow users to trust that the website they reached is the one they intended and not a decoy that could be used for fraud. An unknown threat actor breached DigiNotar?? network in 2011 and stole authentication certificates to masquerade as other online properties. For example, the threat actors used the certificates to pose as Google and spy on approximately three hundred thousand Iranian Gmail accounts. The fallout from the cyberattack caused DigiNotar to file for bankruptcy, as it was no longer considered a reliable provider for digital security certificates.?

DigiNotar was a certificate issuer for the Dutch government at the time, so the compromise jeopardized the information of Dutch citizens. The breach also revealed the previously hidden insecurities of online trust infrastructure, leading to new certificate authentication standards to better ensure the future protection of online consumers.",,DigiNotar,,Espionage,"Government, Private sector",http://www.computerworld.com/article/2510951/cybercrime-hacking/hackers-spied-on-300-000-iranians-using-fake-google-certificate.html,http://scholarcommons.usf.edu/cgi/viewcontent.cgi?article=1246&context=jss,https://www.enisa.europa.eu/media/news-items/operation-black-tulip
Compromise at Mitsubishi Heavy Industries,9/19/2011,Possibly linked to the Nitro incident,"A threat actor compromised Mitsubishi Heavy Industries, a Japanese defense contractor, targeting shipyards and research and development facilities.",,Mitsubishi Heavy Industries,,Espionage,Private sector,http://www.reuters.com/article/us-mitsubishiheavy-computer-idUSTRE78I0EL20110919,http://www.bbc.com/news/world-asia-pacific-14982906,http://www.computerworld.com/article/2499789/security0/-nitro--hackers-use-stock-malware-to-steal-chemical--defense-secrets.html
Nitro attacks,10/31/2011,Possibly linked to the Mitsubishi Heavy Industries incident.,A threat actor targeted defense contractors and private companies involved in research and manufacture of chemicals.,,"United States, Bangladesh, United Kingdom, Argentina, Singapore, China, Taiwan, Germany, Czech Republic, Hong Kong, India, Netherlands, Finland, South Korea, France",China,Espionage,"Government, Private sector",https://www.symantec.com/content/en/us/enterprise/media/security_response/whitepapers/the_nitro_attacks.pdf,http://www.reuters.com/article/us-cyberattack-chemicals-idUSTRE79U4K920111031,http://www.computerworld.com/article/2499789/security0/-nitro--hackers-use-stock-malware-to-steal-chemical--defense-secrets.html
